student_id,full_name,governorate,district,lat,lng,gender,status
BGD000001,Hawraa Ali Al-Tamimi,Baghdad,Karkh,33.33213,44.37418,F,active
BGD000002,Karrar Hassan Al-Jubouri,Baghdad,Abu Ghraib,33.27275,44.20017,M,active
BGD000003,Zaid Ahmed Al-Shammari,Baghdad,Karkh,33.32032,44.39632,M,active
BGD000004,Ali Zaid Al-Jubouri,Baghdad,Mahmudiyah,33.00464,44.35196,M,active
BGD000005,Mustafa Yusuf Al-Baghdadi,Baghdad,Mansour,33.32476,44.31762,M,active
BGD000006,Mohammed Mustafa Al-Rubaie,Baghdad,Karkh,33.30546,44.35241,M,active
BGD000007,Aya Hassan Al-Shammari,Baghdad,Karkh,33.31646,44.36585,F,active
BGD000008,Dina Mohammed Al-Hamdani,Baghdad,Rusafa,33.3523,44.43511,F,active
BGD000009,Hassan Hussein Al-Khafaji,Baghdad,Rusafa,33.33801,44.44364,M,active
BGD000010,Maryam Karrar Al-Shammari,Baghdad,Sadr City,33.36694,44.42108,F,active
BGD000011,Fatima Hussein Al-Basri,Baghdad,Karkh,33.33682,44.35741,F,active
BGD000012,Layla Ahmed Al-Basri,Baghdad,Sadr City,33.41429,44.4305,F,active
BGD000013,Rania Mustafa Al-Jubouri,Baghdad,Mahmudiyah,33.06496,44.36596,F,active
BGD000014,Maryam Karrar Al-Hamdani,Baghdad,Abu Ghraib,33.3302,44.19018,F,active
BGD000015,Noor Zaid Al-Janabi,Baghdad,Mahmudiyah,33.06507,44.31909,F,active
BGD000016,Mohammed Mustafa Al-Jubouri,Baghdad,Mansour,33.32682,44.35197,M,active
BGD000017,Omar Hussein Al-Obaidi,Baghdad,Adhamiyah,33.33682,44.33726,M,active
BGD000018,Mustafa Hassan Al-Dulaimi,Baghdad,Abu Ghraib,33.30547,44.1632,M,active
BGD000019,Maryam Zaid Al-Azzawi,Baghdad,Rusafa,33.31164,44.39894,F,active
BGD000020,Yusuf Hussein Al-Azzawi,Baghdad,Sadr City,33.39418,44.45076,M,active
BGD000021,Rania Zaid Al-Azzawi,Baghdad,Karkh,33.33154,44.34522,F,active
BGD000022,Hassan Hassan Al-Obaidi,Baghdad,Mahmudiyah,33.04572,44.35139,M,active
BGD000023,Fatima Ali Al-Zubaidi,Baghdad,Adhamiyah,33.36932,44.37676,F,active
BGD000024,Dina Hussein Al-Rubaie,Baghdad,Kadhimiyah,33.32946,44.32758,F,active
BGD000025,Hussein Yusuf Al-Basri,Baghdad,Kadhimiyah,33.38493,44.35565,M,active
BGD000026,Ali Yusuf Al-Hamdani,Baghdad,Abu Ghraib,33.22448,44.19106,M,active
BGD000027,Omar Ahmed Al-Saadi,Baghdad,Adhamiyah,33.3496,44.36603,M,active
BGD000028,Ali Ali Al-Jubouri,Baghdad,Karkh,33.30254,44.41384,M,active
BGD000029,Mohammed Ahmed Al-Janabi,Baghdad,Mansour,33.30504,44.29564,M,active
BGD000030,Mustafa Ahmed Al-Saadi,Baghdad,Karkh,33.33599,44.35907,M,active
BGD000031,Mohammed Mohammed Al-Zubaidi,Baghdad,Karkh,33.31123,44.33935,M,active
BGD000032,Karrar Mustafa Al-Tamimi,Baghdad,Karkh,33.32087,44.35527,M,active
BGD000033,Noor Hassan Al-Dulaimi,Baghdad,Abu Ghraib,33.37065,44.1803,F,active
BGD000034,Dina Mohammed Al-Shammari,Baghdad,Mansour,33.31602,44.3408,F,active
BGD000035,Noor Ahmed Al-Hamdani,Baghdad,Abu Ghraib,33.29142,44.20685,F,active
BGD000036,Ali Mohammed Al-Azzawi,Baghdad,Adhamiyah,33.39634,44.3885,M,active
BGD000037,Zaid Yusuf Al-Janabi,Baghdad,Karkh,33.27672,44.42418,M,active
BGD000038,Zaid Hussein Al-Basri,Baghdad,Abu Ghraib,33.31311,44.1876,M,active
BGD000039,Mustafa Ali Al-Rubaie,Baghdad,Sadr City,33.43867,44.43303,M,active
BGD000040,Hussein Hussein Al-Rubaie,Baghdad,Mahmudiyah,33.03867,44.33754,M,active
BGD000041,Sara Mohammed Al-Shammari,Baghdad,Sadr City,33.38639,44.45336,F,active
BGD000042,Rania Mustafa Al-Obaidi,Baghdad,Adhamiyah,33.38352,44.29636,F,active
BGD000043,Sara Yusuf Al-Tamimi,Baghdad,Karkh,33.35998,44.3311,F,active
BGD000044,Zainab Omar Al-Tamimi,Baghdad,Sadr City,33.33891,44.45568,F,active
BGD000045,Yusuf Omar Al-Dulaimi,Baghdad,Adhamiyah,33.35569,44.41881,M,active
BGD000046,Sara Omar Al-Basri,Baghdad,Abu Ghraib,33.22833,44.24212,F,active
BGD000047,Maryam Hussein Al-Jubouri,Baghdad,Karkh,33.28995,44.36849,F,active
